sport,event_id,event_name,bookmaker,market_type,team,price,point
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,Caesars,h2h,San Antonio Spurs,5.0,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,BetMGM,h2h,Golden State Warriors,1.18,
basketball_nba,ba1db52470fcf89f37df032a905cecce,San Antonio Spurs vs Golden State Warriors,BetMGM,h2h,San Antonio Spurs,5.0,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,DraftKings,h2h,New York Knicks,2.02,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,DraftKings,h2h,Oklahoma City Thunder,1.82,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,FanDuel,h2h,New York Knicks,2.1,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,FanDuel,h2h,Oklahoma City Thunder,1.77,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,Caesars,h2h,New York Knicks,2.05,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,Caesars,h2h,Oklahoma City Thunder,1.8,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,BetMGM,h2h,New York Knicks,2.1,
basketball_nba,037397a79667854289dfd06671aad824,New York Knicks vs Oklahoma City Thunder,BetMGM,h2h,Oklahoma City Thunder,1.74,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,DraftKings,h2h,Chicago Bulls,4.0,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,DraftKings,h2h,Minnesota Timberwolves,1.26,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,FanDuel,h2h,Chicago Bulls,4.0,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,FanDuel,h2h,Minnesota Timberwolves,1.27,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,Caesars,h2h,Chicago Bulls,4.1,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,Caesars,h2h,Minnesota Timberwolves,1.25,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,BetMGM,h2h,Chicago Bulls,4.1,
basketball_nba,ff88f778f1aca4397116db8ee499957e,Minnesota Timberwolves vs Chicago Bulls,BetMGM,h2h,Minnesota Timberwolves,1.25,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,DraftKings,h2h,Dallas Mavericks,1.6,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,DraftKings,h2h,Houston Rockets,2.4,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,FanDuel,h2h,Dallas Mavericks,1.58,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,FanDuel,h2h,Houston Rockets,2.44,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,Caesars,h2h,Dallas Mavericks,1.61,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,Caesars,h2h,Houston Rockets,2.4,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,BetMGM,h2h,Dallas Mavericks,1.61,
basketball_nba,334977eee0d00129b598bc762211ebf7,Houston Rockets vs Dallas Mavericks,BetMGM,h2h,Houston Rockets,2.4,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,DraftKings,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,DraftKings,h2h,Utah Jazz,7.0,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,FanDuel,h2h,Sacramento Kings,1.1,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,FanDuel,h2h,Utah Jazz,7.6,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,Caesars,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,Caesars,h2h,Utah Jazz,7.0,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,BetMGM,h2h,Sacramento Kings,1.11,
basketball_nba,701550171abbecc509088af8e73168c5,Sacramento Kings vs Utah Jazz,BetMGM,h2h,Utah Jazz,7.0,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,DraftKings,h2h,Boston Celtics,1.06,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,DraftKings,h2h,Charlotte Hornets,10.0,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,FanDuel,h2h,Boston Celtics,1.05,
basketball_nba,216590fe70aabd1630ad884fa996b7d9,Charlotte Hornets vs Boston Celtics,FanDuel,h2h,Charlotte Hornets,12.0,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,DraftKings,h2h,Brooklyn Nets,4.5,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,DraftKings,h2h,Indiana Pacers,1.22,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,FanDuel,h2h,Brooklyn Nets,4.85,
basketball_nba,67577af1e344d542b8a36393414b79c6,Indiana Pacers vs Brooklyn Nets,FanDuel,h2h,Indiana Pacers,1.2,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,DraftKings,h2h,Detroit Pistons,1.7,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,DraftKings,h2h,Memphis Grizzlies,2.14,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,FanDuel,h2h,Detroit Pistons,1.69,
basketball_nba,26f534a196f1345519e841b2e8122763,Detroit Pistons vs Memphis Grizzlies,FanDuel,h2h,Memphis Grizzlies,2.22,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,DraftKings,h2h,Orlando Magic,1.07,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,DraftKings,h2h,Portland Trail Blazers,9.0,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,FanDuel,h2h,Orlando Magic,1.06,
basketball_nba,71a374d3f594281f46d022ecb9875370,Orlando Magic vs Portland Trail Blazers,FanDuel,h2h,Portland Trail Blazers,10.8,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,DraftKings,h2h,Atlanta Hawks,2.2,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,DraftKings,h2h,Chicago Bulls,1.7,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,FanDuel,h2h,Atlanta Hawks,2.16,
basketball_nba,7dfdba59b13fe0dcece92eaa81e602b0,Chicago Bulls vs Atlanta Hawks,FanDuel,h2h,Chicago Bulls,1.75,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,DraftKings,h2h,New Orleans Pelicans,1.91,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,DraftKings,h2h,Phoenix Suns,1.91,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,FanDuel,h2h,New Orleans Pelicans,1.89,
basketball_nba,fb7e73589036339e3276d32ada2dc133,New Orleans Pelicans vs Phoenix Suns,FanDuel,h2h,Phoenix Suns,1.96,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,FanDuel,h2h,Duke Blue Devils,7.8,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,FanDuel,h2h,NC State Wolfpack,1.07,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,DraftKings,h2h,Duke Blue Devils,17.0,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,DraftKings,h2h,NC State Wolfpack,1.02,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,Caesars,h2h,Duke Blue Devils,19.0,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,Caesars,h2h,NC State Wolfpack,1.02,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,BetMGM,h2h,Duke Blue Devils,12.0,
basketball_ncaab,06a33ee05051945a726c3f196d2a7c1a,Duke Blue Devils vs NC State Wolfpack,BetMGM,h2h,NC State Wolfpack,1.03,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,FanDuel,h2h,Indiana St Sycamores,1.69,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,FanDuel,h2h,Utah Utes,2.2,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,DraftKings,h2h,Indiana St Sycamores,1.7,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,DraftKings,h2h,Utah Utes,2.2,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,Caesars,h2h,Indiana St Sycamores,1.69,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,Caesars,h2h,Utah Utes,2.22,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,BetMGM,h2h,Indiana St Sycamores,1.69,
basketball_ncaab,d84df342fee6eae4c2d07fc672280703,Indiana St Sycamores vs Utah Utes,BetMGM,h2h,Utah Utes,2.2,
basketball_ncaab,36eecc0bec5b1ad37d860086af1edda5,Seton Hall Pirates vs Georgia Bulldogs,FanDuel,h2h,Georgia Bulldogs,2.5,
basketball_ncaab,36eecc0bec5b1ad37d860086af1edda5,Seton Hall Pirates vs Georgia Bulldogs,FanDuel,h2h,Seton Hall Pirates,1.55,
basketball_ncaab,36eecc0bec5b1ad37d860086af1edda5,Seton Hall Pirates vs Georgia Bulldogs,BetMGM,h2h,Georgia Bulldogs,2.55,
basketball_ncaab,36eecc0bec5b1ad37d860086af1edda5,Seton Hall Pirates vs Georgia Bulldogs,BetMGM,h2h,Seton Hall Pirates,1.53,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,FanDuel,h2h,Alabama Crimson Tide,5.9,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,FanDuel,h2h,UConn Huskies,1.14,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,DraftKings,h2h,Alabama Crimson Tide,6.25,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,DraftKings,h2h,UConn Huskies,1.13,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,BetMGM,h2h,Alabama Crimson Tide,6.5,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,BetMGM,h2h,UConn Huskies,1.12,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,Caesars,h2h,Alabama Crimson Tide,6.0,
basketball_ncaab,ea00d81955374d15711bf09c3721afbc,UConn Huskies vs Alabama Crimson Tide,Caesars,h2h,UConn Huskies,1.14,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,FanDuel,h2h,Colorado Avalanche,1.29,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,FanDuel,h2h,Columbus Blue Jackets,3.65,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,DraftKings,h2h,Colorado Avalanche,1.29,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,DraftKings,h2h,Columbus Blue Jackets,3.75,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,BetMGM,h2h,Colorado Avalanche,1.29,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,BetMGM,h2h,Columbus Blue Jackets,3.8,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,Caesars,h2h,Colorado Avalanche,1.29,
icehockey_nhl,3c66130c01f3100c716c2db9ca6fe49c,Columbus Blue Jackets vs Colorado Avalanche,Caesars,h2h,Columbus Blue Jackets,3.75,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,FanDuel,h2h,Detroit Red Wings,2.52,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,FanDuel,h2h,Tampa Bay Lightning,1.54,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,DraftKings,h2h,Detroit Red Wings,2.6,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,DraftKings,h2h,Tampa Bay Lightning,1.52,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,BetMGM,h2h,Detroit Red Wings,2.55,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,BetMGM,h2h,Tampa Bay Lightning,1.53,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,Caesars,h2h,Detroit Red Wings,2.58,
icehockey_nhl,f0c2d2ff50a48ad7294248255221bf68,Tampa Bay Lightning vs Detroit Red Wings,Caesars,h2h,Tampa Bay Lightning,1.53,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,FanDuel,h2h,Florida Panthers,1.83,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,FanDuel,h2h,Toronto Maple Leafs,2.0,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,DraftKings,h2h,Florida Panthers,1.83,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,DraftKings,h2h,Toronto Maple Leafs,2.0,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,BetMGM,h2h,Florida Panthers,1.83,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,BetMGM,h2h,Toronto Maple Leafs,2.0,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,Caesars,h2h,Florida Panthers,1.83,
icehockey_nhl,4f69e9976385a4a506672d3fa73b22a1,Toronto Maple Leafs vs Florida Panthers,Caesars,h2h,Toronto Maple Leafs,2.0,
