sport,event_id,event_name,bookmaker,team,price
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,Caesars,Pittsburgh Penguins,2.58
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,SI Sportsbook,Carolina Hurricanes,1.5
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,SI Sportsbook,Pittsburgh Penguins,2.55
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,WynnBET,Carolina Hurricanes,1.54
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,WynnBET,Pittsburgh Penguins,2.68
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,betPARX,Detroit Red Wings,1.97
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,betPARX,Washington Capitals,1.85
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,BetRivers,Detroit Red Wings,1.97
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,BetRivers,Washington Capitals,1.85
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,DraftKings,Detroit Red Wings,1.95
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,DraftKings,Washington Capitals,1.87
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,FanDuel,Detroit Red Wings,1.94
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,FanDuel,Washington Capitals,1.88
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,ESPN BET,Detroit Red Wings,1.95
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,ESPN BET,Washington Capitals,1.87
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,BetMGM,Detroit Red Wings,1.95
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,BetMGM,Washington Capitals,1.87
